,USGSid,NHDPlusid,NWM_rmse,MLP_rmse,NWM_pbias,MLP_pbias,NWM_kge,MLP__kge,NWM_mape,MLP_mape
0,10105900.0,666170.0,90.66799521338451,149.36061858868925,-16.13,-82.38466666666665,0.72,,108.61000000000003,362.5133333333333
1,10126000.0,4605050.0,1861.4394752236626,1831.6211927938543,-53.15000000000002,88.16799999999998,0.14000000000000007,,369.3700000000001,73.29233333333332
2,10129900.0,10093082.0,29.960616925617725,161.65517299946598,-210.86999999999992,-2294.911333333333,-3.0400000000000014,,225.60999999999996,3861.243333333333
3,10133650.0,10276856.0,34.537692674453496,151.39941640190827,-135.82999999999996,-826.3726666666664,-0.5600000000000003,,271.0699999999999,1604.8116666666663
4,10133800.0,10276836.0,53.46035309622818,141.12109122461393,-127.57999999999996,-446.4716666666667,-0.4100000000000001,,254.97999999999982,890.2693333333334
5,10133980.0,10276712.0,97.1193449802921,133.3842670019589,-179.04,-276.7076666666666,-0.8700000000000002,,382.6499999999998,665.4073333333333
6,10134500.0,10277268.0,128.60302373975455,130.92916624075002,-235.17000000000004,-262.88966666666664,-1.4799999999999993,,1014.9300000000002,1317.6789999999996
7,10136500.0,10274616.0,776.6086306880933,431.7819361002077,-191.06999999999996,50.872,-0.9899999999999994,,436.4599999999997,89.633
8,10137500.0,10274270.0,107.073089199568,157.76189896356126,33.04999999999998,-43.958333333333336,0.4800000000000003,,38.65999999999999,225.92733333333337
9,10140100.0,10275828.0,270.37038843198576,245.70439870481218,-134.82999999999996,-50.676000000000016,-0.42,,813.0699999999998,746.0186666666664
10,10140700.0,10274376.0,268.87285960577634,289.8406597769071,-54.51999999999999,6.185666666666667,0.3,,325.1000000000002,288.6513333333333
11,10141000.0,10273232.0,1317.9644221675503,513.8083709594864,-412.87000000000023,38.813333333333325,-3.2000000000000015,,1670.9499999999994,155.36266666666668
12,10145400.0,10331031.0,14.703517485302639,155.5734860332692,27.320000000000014,-1045.1846666666668,0.5099999999999999,,40.4,2560.042333333334
13,10149000.0,10349162.0,17.955593616120385,139.02429815468082,48.43,-458.68233333333336,0.3499999999999998,,48.59999999999999,519.6850000000001
14,10153100.0,10348934.0,37.03218604253779,138.24741669538938,2.3800000000000003,-296.99066666666675,0.66,,69.0,659.794
15,10155000.0,10373622.0,317.55527519783135,508.56686162358324,21.779999999999983,46.916333333333334,0.47000000000000014,,123.38999999999996,136.88566666666665
16,10155200.0,10373794.0,226.26375205527341,259.232789587927,2.689999999999999,35.092999999999996,0.59,,53.77999999999998,32.09666666666667
17,10157500.0,10375690.0,96.06840436865697,164.3294457593065,-1688.0899999999988,-3376.0536666666667,-16.180000000000003,,25067.34,54701.77133333333
18,10164500.0,10329013.0,110.84094009345652,138.86677353085918,-123.23,-306.268,-0.9499999999999995,,130.71,882.1926666666666
19,10171000.0,10390290.0,3558.880085855942,55.15141630592602,-2822.39,-34.76,-29.809999999999977,,3342.1499999999987,60.43999999999999
